Unique_Transcript_Header,Orthogroup,Gene_Symbols,Transcript_Header,Seq_Location_of_Transcript,Sample,TPM,NumReads
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_1_R5,3.22215,335.993
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_1_R6,2.96681,490.336
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_3_R1,2.73842,420.495
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_1_R4,2.7052,414.373
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_2_R3,2.69134,268.44
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_4_R1,2.66629,422.638
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_2_R5,2.44871,283.983
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_4_R3,2.44317,497.437
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_3_R2,2.36052,464.372
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_4_R2,2.2997,363.857
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_2_R2,2.24831,220.962
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_5_R1,2.20381,337.117
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_1_R6,2.0824,290.523
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_4_R4,2.0717,442.175
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_4_R5,2.03661,360.092
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_2_R4,1.99272,302.053
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_3_R3,1.89224,179.704
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_5_R2,1.83456,322.964
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_3_R6,1.52684,292.801
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_1_R5,1.48901,129.645
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_4_R3,1.47291,253.578
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_1_R3,1.44895,181.463
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_6_R3,1.42276,176.74
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_5_R4,1.31015,104.78
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_6_R4,1.23912,260.27
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_3_R6,1.23487,203.26
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_2_R6,1.19833,144.546
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_1_R1,1.19315,151.597
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_3_R3,1.19032,93.493
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_4_R5,1.18563,175.925
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_5_R6,1.17303,94.7398
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_6_R5,1.15218,142.592
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_5_R3,1.13427,73.7317
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_3_R4,1.11504,128.729
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_6_R6,1.11359,62.2201
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_3_R2,1.10531,184.398
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_2_R2,1.06709,87.883
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_4_R2,1.05967,143.654
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_1_R4,0.996061,127.184
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_2_R3,0.968429,81.5918
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_4_R6,0.955007,77.992
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_5_R1,0.921994,118.623
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_5_R3,0.895525,71.849
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_6_R3,0.8281,87.386
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_6_R6,0.824328,56.4303
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_5_R2,0.80193,118.611
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_1_R3,0.792306,82.1063
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_5_R4,0.783868,50.9362
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_6_R2,0.765542,72.4198
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_4_R4,0.752021,137.325
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_2_R1,0.749969,98.3618
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_2_R4,0.744754,96.0203
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_4_R6,0.742812,49.3099
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_3_R4,0.74019,69.416
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_4_R1,0.733124,100.07
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_3_R1,0.717168,94.2798
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_6_R1,0.695422,36.2341
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_2_R6,0.645982,65.8853
