gene_acc	Homo_seqid	OG	symbol	Actinula_seqid
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.124
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.18330
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.19697
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.26880
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.30794
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.32683
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.33872
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.48126
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.48494
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.53426
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.53593
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.54786
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.56333
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.69548
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.746
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.82119
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.84530
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.84567
NP_899233.1	Homo_52858	OG0000009	ASIC2	Ec_actinula_t.94078
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.124
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.18330
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.19697
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.26880
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.30794
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.32683
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.33872
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.48126
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.48494
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.53426
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.53593
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.54786
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.56333
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.69548
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.746
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.82119
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.84530
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.84567
NP_001243759.1	Homo_41205	OG0000009	ASIC1	Ec_actinula_t.94078
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.124
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.18330
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.19697
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.26880
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.30794
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.32683
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.33872
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.48126
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.48494
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.53426
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.53593
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.54786
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.56333
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.69548
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.746
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.82119
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.84530
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.84567
NP_000327.2	Homo_49719	OG0000009	SCNN1B	Ec_actinula_t.94078
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.124
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.18330
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.19697
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.26880
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.30794
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.32683
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.33872
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.48126
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.48494
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.53426
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.53593
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.54786
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.56333
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.69548
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.746
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.82119
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.84530
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.84567
NP_001123885.2	Homo_57	OG0000009	SCNN1D	Ec_actinula_t.94078
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.124
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.18330
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.19697
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.26880
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.30794
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.32683
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.33872
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.48126
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.48494
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.53426
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.53593
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.54786
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.56333
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.69548
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.746
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.82119
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.84530
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.84567
NP_001030.2	Homo_49716	OG0000009	SCNN1G	Ec_actinula_t.94078
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.124
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.18330
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.19697
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.26880
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.30794
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.32683
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.33872
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.48126
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.48494
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.53426
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.53593
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.54786
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.56333
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.69548
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.746
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.82119
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.84530
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.84567
NP_004760.1	Homo_27500	OG0000009	ASIC3	Ec_actinula_t.94078
NP_001306004.1	Homo_8072	OG0000015	B3GNT2	Ec_actinula_t.103073
NP_001306004.1	Homo_8072	OG0000015	B3GNT2	Ec_actinula_t.1936
NP_001306004.1	Homo_8072	OG0000015	B3GNT2	Ec_actinula_t.46304
NP_001306004.1	Homo_8072	OG0000015	B3GNT2	Ec_actinula_t.52209
NP_001306004.1	Homo_8072	OG0000015	B3GNT2	Ec_actinula_t.52664
NP_001306004.1	Homo_8072	OG0000015	B3GNT2	Ec_actinula_t.57370
NP_001306004.1	Homo_8072	OG0000015	B3GNT2	Ec_actinula_t.67890
NP_001306004.1	Homo_8072	OG0000015	B3GNT2	Ec_actinula_t.70250
NP_001306004.1	Homo_8072	OG0000015	B3GNT2	Ec_actinula_t.72358
NP_001306004.1	Homo_8072	OG0000015	B3GNT2	Ec_actinula_t.83503
NP_001306004.1	Homo_8072	OG0000015	B3GNT2	Ec_actinula_t.95450
NP_853514.1	Homo_50957	OG0000024	PKD1L3	Ec_actinula_t.100430
NP_853514.1	Homo_50957	OG0000024	PKD1L3	Ec_actinula_t.100430
NP_853514.1	Homo_50957	OG0000024	PKD1L3	Ec_actinula_t.103146
NP_853514.1	Homo_50957	OG0000024	PKD1L3	Ec_actinula_t.1124
NP_853514.1	Homo_50957	OG0000024	PKD1L3	Ec_actinula_t.33359
NP_853514.1	Homo_50957	OG0000024	PKD1L3	Ec_actinula_t.637
NP_853514.1	Homo_50957	OG0000024	PKD1L3	Ec_actinula_t.66208
NP_853514.1	Homo_50957	OG0000024	PKD1L3	Ec_actinula_t.66208
NP_853514.1	Homo_50957	OG0000024	PKD1L3	Ec_actinula_t.90542
NP_853514.1	Homo_50957	OG0000024	PKD1L3	Ec_actinula_t.90542
NP_001288168.1	Homo_16841	OG0000042	UGT2A1	Ec_actinula_t.17569
NP_001288168.1	Homo_16841	OG0000042	UGT2A1	Ec_actinula_t.22743
NP_001288168.1	Homo_16841	OG0000042	UGT2A1	Ec_actinula_t.35360
NP_001288168.1	Homo_16841	OG0000042	UGT2A1	Ec_actinula_t.39727
NP_001288168.1	Homo_16841	OG0000042	UGT2A1	Ec_actinula_t.5106
NP_001288168.1	Homo_16841	OG0000042	UGT2A1	Ec_actinula_t.55411
NP_006142.1	Homo_54249	OG0000071	LPO	Ec_actinula_t.18516
NP_006142.1	Homo_54249	OG0000071	LPO	Ec_actinula_t.1947
NP_006142.1	Homo_54249	OG0000071	LPO	Ec_actinula_t.26981
NP_006142.1	Homo_54249	OG0000071	LPO	Ec_actinula_t.32433
NP_006142.1	Homo_54249	OG0000071	LPO	Ec_actinula_t.48709
NP_006142.1	Homo_54249	OG0000071	LPO	Ec_actinula_t.54685
NP_006142.1	Homo_54249	OG0000071	LPO	Ec_actinula_t.54998
NP_006142.1	Homo_54249	OG0000071	LPO	Ec_actinula_t.66585
NP_006142.1	Homo_54249	OG0000071	LPO	Ec_actinula_t.68440
NP_006142.1	Homo_54249	OG0000071	LPO	Ec_actinula_t.69392
NP_006142.1	Homo_54249	OG0000071	LPO	Ec_actinula_t.82350
NP_006142.1	Homo_54249	OG0000071	LPO	Ec_actinula_t.95604
NP_006142.1	Homo_54249	OG0000071	LPO	Ec_actinula_t.98433
NP_001035.1	Homo_18610	OG0000102	SLC6A3	Ec_actinula_t.101518
NP_001035.1	Homo_18610	OG0000102	SLC6A3	Ec_actinula_t.1316
NP_001035.1	Homo_18610	OG0000102	SLC6A3	Ec_actinula_t.17785
NP_001035.1	Homo_18610	OG0000102	SLC6A3	Ec_actinula_t.3116
NP_001035.1	Homo_18610	OG0000102	SLC6A3	Ec_actinula_t.53035
NP_001035.1	Homo_18610	OG0000102	SLC6A3	Ec_actinula_t.55229
NP_001035.1	Homo_18610	OG0000102	SLC6A3	Ec_actinula_t.67261
