OG	symbol
OG0000009	ASIC2, ASIC1, SCNN1B, SCNN1D, SCNN1G, ASIC3
OG0000015	B3GNT2
OG0000024	PKD1L3
OG0000042	UGT2A1
OG0000071	LPO
OG0000102	SLC6A3
OG0000369	ADCY3
OG0000379	SLC24A4
OG0000390	CD36
OG0000470	GNAT1, GNAT2, GNAT3
OG0000500	SYT10
OG0000514	NAV2
OG0000547	LEF1
OG0000701	ITPR3
OG0000887	TRPA1
OG0000899	PKD2L1
OG0000964	REEP2
OG0001000	GNB1
OG0001196	CNGA2
OG0001271	CFAP69
OG0001411	FZD2
OG0002664	UBR3
OG0002845	NXNL2
OG0003469	BBS4
OG0003734	NCAM2
OG0005610	BBS1
OG0008892	MKKS
OG0010534	RTP4
OG0013795	GNAL
