Unique_Transcript_Header,Orthogroup,Gene_Symbols,Transcript_Header,Seq_Location_of_Transcript,Sample,TPM,NumReads
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_2_R5,10.1359,312.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_2_R5,10.1359,312.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_2_R4,9.66013,386.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_2_R4,9.66013,386.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_1_R5,9.22997,257.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_1_R5,9.22997,257.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_1_R6,8.46114,362.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_1_R6,8.46114,362.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_2_R3,7.99148,210.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_2_R3,7.99148,210.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_4_R3,6.31568,285.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_3_R5,5.74882,165.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_2_R2,5.51682,145.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_2_R2,5.51682,145.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_1_R1,5.3301,185.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_1_R1,5.3301,185.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_1_R4,5.22691,217.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_1_R4,5.22691,217.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_4_R2,5.10454,188.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_1_R3,4.91642,168.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_1_R3,4.91642,168.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_2_R6,4.74617,153.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_2_R6,4.74617,153.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_3_R6,4.42995,195.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_4_R4,4.42758,220.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_6_R4,4.06883,203.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_4_R5,3.99047,153.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_5_R2,3.93741,159.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_3_R3,3.86208,81.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_5_R1,3.78633,133.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_3_R4,3.78572,96.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_1_R2,3.77748,112.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_1_R2,3.77748,112.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_4_R2,3.27268,136.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_4_R2,3.27268,136.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_2_R1,3.19515,113.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_2_R1,3.19515,113.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_6_R3,2.75274,80.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_6_R5,2.69489,74.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_3_R1,2.65043,91.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_6_R6,2.55357,40.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_4_R6,2.21146,39.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_3_R2,2.18107,98.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_4_R1,2.14607,80.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_5_R3,2.09885,37.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_3_R6,1.83299,91.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_3_R6,1.83299,91.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_6_R2,1.81369,39.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_1_R1,1.77764,51.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_2_R4,1.74369,60.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_3_R3,1.72592,44.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_3_R3,1.72592,44.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_2_R6,1.70312,47.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_2_R3,1.62408,36.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_2_R5,1.61299,43.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_5_R4,1.57592,28.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_3_R5,1.50395,53.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_3_R5,1.50395,53.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_5_R5,1.30043,17.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_4_R1,1.25422,52.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_4_R1,1.25422,52.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_5_R6,1.24526,22.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_6_R3,1.18185,39.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_6_R3,1.18185,39.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_2_R2,1.08874,24.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_5_R2,0.817353,38.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_5_R2,0.817353,38.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_2_R1,0.814717,24.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_4_R4,0.81104,45.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_4_R4,0.81104,45.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_1_R1,0.796806,10.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_4_R6,0.784983,17.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_4_R6,0.784983,17.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_5_R4,0.771496,17.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_5_R4,0.771496,17.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_4_R5,0.748099,34.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_4_R5,0.748099,34.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_5_R3,0.741469,16.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_5_R3,0.741469,16.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_3_R4,0.730517,23.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_3_R4,0.730517,23.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_4_R3,0.686061,36.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_4_R3,0.686061,36.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_5_R1,0.654283,27.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_5_R1,0.654283,27.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_2_R3,0.621748,6.1582
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_1_R4,0.582888,20.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_5_R6,0.567317,12.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_5_R6,0.567317,12.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_6_R2,0.566334,15.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_6_R2,0.566334,15.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_3_R2,0.520275,27.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_3_R2,0.520275,27.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_1_R5,0.476186,11.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_5_R5,0.458302,7.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_5_R5,0.458302,7.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_5_R2,0.452145,8.08977
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_2_R4,0.449021,7.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_2_R2,0.409905,4.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_6_R5,0.406216,5.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_6_R1,0.376475,2.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_2_R6,0.325464,4.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_1_R3,0.323973,9.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_6_R4,0.313218,18.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_6_R4,0.313218,18.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_5_R4,0.280552,2.13371
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_3_R1,0.278837,11.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_3_R1,0.278837,11.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_6_R6,0.266141,5.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_6_R6,0.266141,5.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_4_R1,0.234595,4.0519
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_6_R3,0.230728,3.04319
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_6_R1,0.218457,3.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_6_R1,0.218457,3.0
Ec_actinula_t.97788..1291-986,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,1291-986,STG_6_R5,0.214121,7.0
Ec_actinula_t.97788..970-584,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.97788,970-584,STG_6_R5,0.214121,7.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_1_R5,0.196521,2.05479
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_1_R6,0.190186,7.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_4_R4,0.18475,4.13303
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_1_R6,0.175614,3.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_6_R1,0.167176,2.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_6_R6,0.147068,1.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_4_R3,0.145472,3.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_5_R1,0.132214,2.03321
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_3_R1,0.129198,2.06684
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_5_R6,0.125366,1.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_4_R6,0.124728,1.0
Ec_actinula_t.72976..146-1048,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.72976,146-1048,STG_1_R2,0.122824,3.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_4_R2,0.118864,2.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_3_R3,0.109554,1.0323
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_1_R2,0.0919825,1.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_6_R4,0.0916504,2.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_2_R5,0.0827423,1.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_1_R3,0.0814365,1.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_2_R1,0.0746319,1.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_4_R5,0.0589525,1.00027
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_3_R2,0.0516413,1.03863
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_3_R6,0.0496006,1.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_5_R5,0.0,0.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_3_R4,0.0,0.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_3_R5,0.0,0.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_5_R3,0.0,0.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_6_R2,0.0,0.0
Ec_actinula_t.28006..356-39,OG0000063,RRH;OPN5;RHO;OPN4,Ec_actinula_t.28006,356-39,STG_1_R4,0.0,0.0
