gene_acc	Homo_seqid	OG	symbol	Actinula_seqid
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.101990
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.103687
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.20270
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.2148
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.27414
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.3424
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.36823
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.39130
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.4025
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.4413
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.44404
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.46578
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.47293
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.47684
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.5529
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.59559
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.6881
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.70714
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.73353
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.7776
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.83241
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.83411
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.8379
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.859
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.87936
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.91711
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.92319
NP_005513.2	Homo_25119	OG0000001	HOXA1	Ec_actinula_t.96218
NP_064448.1	Homo_32451	OG0000001	BARHL1	Ec_actinula_t.101990
NP_064448.1	Homo_32451	OG0000001	BARHL1	Ec_actinula_t.103687
NP_064448.1	Homo_32451	OG0000001	BARHL1	Ec_actinula_t.20270
NP_064448.1	Homo_32451	OG0000001	BARHL1	Ec_actinula_t.2148
