Unique_Transcript_Header,Orthogroup,Gene_Symbols,Transcript_Header,Seq_Location_of_Transcript,Sample,TPM,NumReads
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_3_R1,204.762,24424.2
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_4_R4,182.25,29833.4
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_4_R5,176.539,23631.7
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_4_R3,166.489,26226.8
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_4_R2,130.956,15997.9
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_6_R4,127.214,20407.4
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_5_R1,121.582,13992.9
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_3_R6,108.878,16185.2
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_6_R5,108.751,9870.2
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_5_R2,102.494,13583.7
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_3_R5,102.1,9715.54
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_3_R4,89.2206,7479.0
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_3_R3,78.3091,5512.17
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_4_R1,65.9764,8075.65
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_5_R3,61.3369,3512.0
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_6_R3,59.193,5585.32
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_6_R6,57.4985,2784.94
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_3_R2,45.1211,6806.31
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_4_R6,42.8581,2483.05
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_2_R2,41.6051,3127.71
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_6_R2,32.4416,2205.3
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_1_R1,27.3611,2632.41
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_5_R6,24.5273,1406.49
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_4_R4,24.3453,3310.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_4_R3,24.1477,3178.0
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_5_R4,23.8453,1357.08
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_2_R3,23.7162,1817.97
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_4_R5,23.1316,2585.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_5_R1,21.353,2043.0
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_2_R6,20.3042,1871.43
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_2_R5,18.1331,1623.85
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_5_R5,18.0138,741.858
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_3_R6,17.7257,2173.0
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_2_R4,17.079,2003.65
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_4_R2,16.9575,1714.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_5_R2,14.2576,1580.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_3_R4,12.7417,898.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_6_R4,11.05,1462.0
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_1_R4,9.87109,1132.96
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_6_R5,9.24738,711.0
