Unique_Transcript_Header,Orthogroup,Gene_Symbols,Transcript_Header,Seq_Location_of_Transcript,Sample,TPM,NumReads
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_3_R1,26.7244,2532.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_3_R6,25.3571,3036.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_4_R4,24.9044,3312.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_4_R5,24.7892,2655.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_3_R2,21.3764,2576.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_4_R2,20.7155,2043.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_3_R6,20.6793,2058.83
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_1_R5,19.6888,1085.47
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_5_R2,19.5406,2094.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_4_R1,19.0181,1891.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_4_R4,18.2293,2039.08
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_3_R2,18.1417,1917.16
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_3_R1,17.9347,1460.86
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_4_R5,17.5167,1625.1
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_5_R1,16.6392,1539.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_1_R6,16.0742,1353.67
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_2_R3,16.0187,863.911
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_4_R2,15.5764,1304.65
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_2_R2,15.0588,820.88
