OG	symbol
OG0000001	HOXA1, BARHL1
OG0000003	HPN, TMPRSS3
OG0000007	FGFR1
OG0000009	ASIC2, ASIC3
OG0000012	DRGX
OG0000026	GABRB2, GABRB3
OG0000034	CHRNA9, CHRNA10
OG0000045	COCH
OG0000061	OTOF
OG0000067	CACNA1D
OG0000093	CDH23
OG0000096	MYH14
OG0000110	FYN
OG0000128	TBX1
OG0000129	PAX3
OG0000140	SCN1A
OG0000159	SLC1A3
OG0000189	ATP2B2
OG0000210	TMC1, TMC2
OG0000214	CNTN5
OG0000220	SERPINB6
OG0000241	GRM7
OG0000327	KCNQ1, KCNQ4
OG0000344	CASP3
OG0000375	EPS8L2
OG0000380	ATP8B1
OG0000389	EYA4, EYA1
OG0000455	SLC26A5
OG0000489	EML2
OG0000514	NAV2
OG0000526	COL4A3
OG0000596	CHD7
OG0000617	CACNB3
OG0000660	ATP6V0A4
OG0000796	KCNA1
OG0000847	MYO7A
OG0000854	SIX1
OG0000887	TRPA1
OG0000929	SPRY2
OG0000947	CLIC5
OG0000999	USP53
OG0001006	DIAPH1
OG0001063	RIPOR2
OG0001090	TH
OG0001109	HOMER2
OG0001177	PSAP
OG0001217	OTOGL
OG0001303	POU3F4
OG0001426	MYO1A
OG0001566	MARVELD2
OG0001574	TBL1X
OG0001731	TUB
OG0001782	PIEZO2
OG0001872	P2RX4
OG0001930	ROR1
OG0001967	CDC14A
OG0002005	BIRC5
OG0002020	WHRN
OG0002038	HEXB
OG0002106	SLC9A3R1
OG0002109	MYO6
OG0002141	MYO15A
OG0002171	LRIG1, LRIG2
OG0002445	FBXO11
OG0002585	POU4F2, POU4F3
OG0002607	RAB3A
OG0002928	SOD1
OG0002965	TFAP2A
OG0003111	ALDH7A1
OG0003181	DCDC2
OG0003740	MYO3B, MYO3A
OG0003750	ATP6V1B1
OG0003805	NIPBL
OG0004011	LRP2
OG0004299	GRXCR1
OG0004373	USH1G
OG0004432	WDR1
OG0004508	SLC52A3
OG0004579	USH2A
OG0004634	LRTOMT
OG0005488	CRYM
OG0005788	PJVK
OG0005851	BACE1
OG0005885	LOXHD1
OG0006131	PGAP1
OG0006193	NDUFB9
OG0006520	USH1C
OG0007889	TIMM13
OG0007959	ADGRV1
OG0008036	CDKN1B
OG0008643	RPL38
OG0008892	MKKS
OG0013746	FZD4
